Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Logical quotient rating,coding skills rating,can work long time before system?,self-learning capability?,Interested subjects,Type of company want to settle in?,Management or Technical,Suggested Job Role
61,72,66,68,92,90,78,7,6,no,no,IOT,Product based,Technical,Systems Security Administrator
84,68,83,80,81,88,85,1,3,yes,yes,Management,Web Services,Technical,Software Developer
60,90,70,73,91,64,75,1,2,yes,no,data engineering,Testing and Maintainance Services,Management,Portal Administrator
66,89,84,63,74,87,82,1,9,yes,no,data engineering,product development,Technical,Information Technology Auditor
78,60,76,88,93,62,68,1,2,no,no,networks,BPA,Technical,Network Security Engineer
73,74,82,77,64,89,70,4,4,no,no,hacking,Product based,Technical,Software Systems Engineer
77,85,81,71,69,80,78,7,2,yes,yes,IOT,Testing and Maintainance Services,Management,Quality Assurance Associate
71,85,75,81,92,88,74,9,6,yes,no,parallel computing,SAaS services,Management,CRM Business Analyst
72,76,88,60,78,72,78,7,7,no,yes,Software Engineering,Product based,Technical,Network Engineer
68,87,77,90,79,63,69,2,1,yes,yes,data engineering,Cloud Services,Technical,Software Quality Assurance (QA) / Testing
76,89,64,87,85,76,72,7,8,no,no,IOT,Cloud Services,Management,Business Systems Analyst
61,83,83,85,67,87,92,7,2,yes,yes,Management,SAaS services,Technical,Applications Developer
78,82,86,87,72,77,64,5,8,yes,no,IOT,SAaS services,Technical,Information Technology Auditor
77,84,65,71,81,68,94,3,6,no,yes,cloud computing,SAaS services,Technical,Mobile Applications Developer
68,92,68,73,77,91,65,8,1,yes,yes,networks,Sales and Marketing,Technical,Applications Developer
87,63,78,62,60,81,89,6,7,yes,yes,hacking,Cloud Services,Management,Systems Security Administrator
81,94,92,60,88,61,67,6,2,no,yes,cloud computing,product development,Technical,Network Security Administrator
73,75,64,91,70,63,64,3,3,no,no,IOT,Service Based,Technical,Database Manager
62,88,64,85,85,65,69,8,3,yes,yes,hacking,Finance,Management,Web Developer
60,72,92,72,84,72,77,6,9,yes,yes,Computer Architecture,Cloud Services,Management,Quality Assurance Associate
60,90,92,89,87,92,60,2,7,yes,no,networks,Sales and Marketing,Management,Database Developer
85,89,94,62,82,60,93,4,2,no,no,data engineering,Product based,Management,Systems Analyst
75,88,81,86,69,85,69,6,2,yes,yes,Management,Cloud Services,Management,Technical Engineer
80,87,60,81,90,91,77,3,1,no,yes,programming,Sales and Marketing,Technical,CRM Business Analyst
60,71,67,86,77,91,75,1,6,yes,yes,hacking,Product based,Technical,Design & UX
70,81,77,93,69,82,93,8,2,no,no,cloud computing,Web Services,Management,Project Manager
67,64,75,87,74,84,86,4,5,no,no,programming,Testing and Maintainance Services,Management,Systems Security Administrator
70,67,90,65,66,78,85,7,1,yes,yes,programming,SAaS services,Technical,UX Designer
90,72,78,90,60,69,91,5,5,yes,yes,programming,product development,Management,Mobile Applications Developer
63,94,84,75,70,74,81,3,2,no,yes,networks,SAaS services,Technical,Database Administrator
88,65,63,69,82,83,73,3,5,yes,yes,IOT,Finance,Technical,Project Manager
77,94,86,77,74,74,88,3,4,yes,no,cloud computing,Web Services,Technical,Mobile Applications Developer
88,85,61,80,69,73,83,3,2,no,yes,Software Engineering,Finance,Technical,Systems Security Administrator
69,85,75,73,81,66,64,3,9,yes,no,Computer Architecture,Product based,Technical,Network Security Engineer
88,89,91,94,82,81,68,1,6,yes,yes,data engineering,Testing and Maintainance Services,Management,Technical Engineer
71,74,87,80,85,76,94,6,1,no,no,Management,Web Services,Management,Database Developer
89,90,62,70,64,67,68,9,3,yes,yes,networks,Cloud Services,Management,Systems Security Administrator
79,76,74,60,88,79,94,8,7,yes,yes,data engineering,Product based,Technical,Software Engineer
71,63,67,72,65,83,85,3,5,yes,yes,Management,Product based,Technical,Systems Security Administrator
71,93,62,81,81,88,79,7,3,no,no,programming,Cloud Services,Technical,Web Developer
77,71,88,66,93,75,70,3,3,yes,yes,programming,Finance,Technical,Portal Administrator
60,63,78,63,68,85,93,8,3,yes,yes,hacking,Product based,Technical,Database Administrator
92,81,78,60,84,74,74,6,6,yes,no,Computer Architecture,Web Services,Management,Network Engineer
78,67,78,93,64,65,88,3,7,no,no,Software Engineering,Sales and Marketing,Technical,UX Designer
68,60,85,89,70,78,85,5,8,yes,yes,cloud computing,Product based,Management,Software Quality Assurance (QA) / Testing
77,66,92,84,63,82,68,1,9,yes,yes,data engineering,Testing and Maintainance Services,Technical,Programmer Analyst
81,63,69,91,66,60,67,7,4,yes,yes,Computer Architecture,SAaS services,Management,Network Security Engineer
81,81,75,86,80,81,84,5,9,yes,no,Management,Product based,Management,Software Developer
62,81,61,89,61,71,84,8,3,yes,no,data engineering,product development,Management,Quality Assurance Associate
93,79,91,92,87,93,86,7,7,yes,no,Management,BPA,Management,Network Security Administrator
62,65,85,73,61,77,67,7,1,yes,no,parallel computing,BPA,Technical,Network Security Administrator
87,70,80,65,78,93,85,8,8,yes,no,parallel computing,Service Based,Technical,Design & UX
94,85,89,71,80,84,83,4,2,yes,no,data engineering,Product based,Management,Portal Administrator
75,94,65,62,73,89,79,2,6,yes,no,parallel computing,BPA,Technical,Database Manager
79,66,68,82,76,92,82,8,6,no,no,Management,BPA,Management,Mobile Applications Developer
76,67,69,83,90,71,70,7,6,yes,no,IOT,Web Services,Management,Software Quality Assurance (QA) / Testing
64,64,92,62,68,72,66,1,6,yes,yes,IOT,Web Services,Management,Software Systems Engineer
64,74,79,79,91,85,71,4,6,yes,no,Computer Architecture,Sales and Marketing,Management,Business Intelligence Analyst
70,66,80,75,79,85,75,4,5,yes,no,data engineering,Sales and Marketing,Management,Technical Engineer
79,85,72,60,66,78,70,3,3,yes,yes,Software Engineering,Cloud Services,Technical,Solutions Architect
76,60,84,84,91,71,93,5,5,no,yes,networks,Testing and Maintainance Services,Technical,Software Systems Engineer
84,81,78,93,79,91,94,9,7,no,no,networks,Finance,Management,Portal Administrator
88,66,65,73,77,82,70,1,9,no,yes,Software Engineering,Web Services,Management,Database Manager
60,69,64,73,63,92,90,3,9,yes,no,hacking,BPA,Technical,Solutions Architect
87,66,66,62,78,77,64,4,6,yes,no,Management,Service Based,Management,Network Security Administrator
62,78,69,93,90,70,88,5,3,no,no,parallel computing,Web Services,Management,Portal Administrator
61,80,94,91,67,91,66,8,8,no,yes,Computer Architecture,Product based,Management,Database Developer
62,81,79,82,85,74,84,4,4,yes,yes,IOT,product development,Management,Network Security Administrator
85,63,71,78,80,93,76,7,9,no,yes,data engineering,product development,Management,Quality Assurance Associate
81,89,82,90,88,86,84,1,9,yes,no,Software Engineering,Testing and Maintainance Services,Technical,Information Security Analyst
72,78,89,90,75,70,88,9,9,yes,no,networks,Cloud Services,Management,Business Systems Analyst
90,63,89,93,60,84,74,8,6,no,no,Computer Architecture,Sales and Marketing,Technical,Systems Analyst
89,82,75,62,86,75,76,2,7,no,no,data engineering,Cloud Services,Technical,Portal Administrator
86,62,88,70,70,82,65,2,3,yes,no,parallel computing,Web Services,Technical,Business Systems Analyst
75,94,88,61,86,81,77,2,9,yes,yes,networks,Product based,Management,Information Technology Auditor
79,64,94,81,88,90,81,4,1,no,yes,Computer Architecture,Product based,Management,Information Security Analyst
66,63,81,69,62,64,69,8,4,no,yes,Computer Architecture,BPA,Management,CRM Business Analyst
76,78,77,93,68,75,66,7,1,no,yes,parallel computing,Service Based,Management,Technical Support
91,69,69,93,82,73,79,5,3,no,no,hacking,Cloud Services,Management,Quality Assurance Associate
75,84,76,61,61,71,77,1,2,yes,no,cloud computing,Service Based,Management,Solutions Architect
80,74,93,80,93,67,64,8,3,yes,yes,cloud computing,product development,Management,Database Manager
69,63,87,89,82,73,67,1,5,yes,yes,IOT,Cloud Services,Management,Information Technology Manager
77,62,91,82,76,70,82,1,4,yes,no,Management,Finance,Technical,Systems Security Administrator
61,86,93,69,79,83,67,8,9,no,yes,IOT,SAaS services,Management,Database Administrator
74,62,60,83,66,73,87,3,4,yes,yes,Software Engineering,Web Services,Technical,Network Security Administrator
86,65,93,66,82,90,64,3,4,no,no,hacking,Sales and Marketing,Technical,CRM Technical Developer
68,91,81,86,80,61,80,9,7,no,no,networks,Cloud Services,Management,Network Engineer
86,93,64,77,77,78,84,6,9,yes,yes,Computer Architecture,Finance,Technical,Technical Support
61,87,81,90,74,78,62,9,9,no,yes,programming,Cloud Services,Management,CRM Business Analyst
63,88,89,71,63,85,94,2,6,yes,yes,IOT,SAaS services,Management,Network Engineer
61,72,77,69,91,75,81,3,5,no,no,hacking,Finance,Technical,Technical Support
69,65,87,65,82,62,70,2,9,yes,no,Software Engineering,Cloud Services,Management,Network Security Engineer
71,81,84,94,68,90,76,7,8,no,no,Management,product development,Management,Network Engineer
79,76,80,83,91,68,91,3,7,no,yes,data engineering,Testing and Maintainance Services,Management,Network Engineer
88,89,91,76,78,85,72,8,5,yes,no,Software Engineering,product development,Technical,Information Security Analyst
70,85,79,63,71,80,61,4,4,no,yes,parallel computing,Sales and Marketing,Technical,UX Designer
86,92,90,76,71,66,78,2,2,no,no,parallel computing,Testing and Maintainance Services,Management,Project Manager
86,74,93,79,70,93,92,2,5,no,no,Management,Web Services,Management,Technical Services/Help Desk/Tech Support
65,69,93,84,82,70,67,7,2,no,yes,cloud computing,Web Services,Management,Applications Developer
71,85,74,80,88,86,90,2,5,no,no,Software Engineering,Product based,Management,Data Architect
62,70,63,69,91,76,65,4,9,no,yes,hacking,Service Based,Technical,Technical Services/Help Desk/Tech Support
78,93,92,80,61,94,73,2,6,yes,yes,data engineering,Web Services,Management,Database Developer
86,78,79,67,93,86,77,2,5,yes,yes,Management,Service Based,Technical,Information Technology Auditor
85,71,80,69,71,84,75,4,4,yes,no,IOT,product development,Management,CRM Business Analyst
63,84,80,94,76,93,76,2,2,yes,no,programming,BPA,Technical,Applications Developer
60,60,93,60,69,93,80,6,8,no,yes,networks,Product based,Management,Applications Developer
67,80,86,79,91,71,68,8,2,no,yes,IOT,Product based,Technical,CRM Business Analyst
87,86,65,85,79,71,66,5,1,yes,no,IOT,Finance,Technical,Portal Administrator
94,75,89,89,80,93,76,5,2,no,yes,IOT,product development,Technical,Data Architect
75,86,88,68,94,93,70,5,6,yes,no,programming,Product based,Management,Technical Services/Help Desk/Tech Support
70,88,82,71,61,68,77,5,1,yes,no,parallel computing,Testing and Maintainance Services,Management,Database Manager
91,73,69,62,76,76,86,7,1,yes,yes,networks,Sales and Marketing,Technical,Network Security Administrator
61,60,62,68,71,71,87,8,2,no,yes,programming,Finance,Technical,Quality Assurance Associate
66,87,73,91,66,72,63,1,8,no,no,Software Engineering,Testing and Maintainance Services,Management,Database Manager
86,74,66,84,91,89,79,2,4,yes,yes,data engineering,product development,Management,Project Manager
76,61,91,73,71,84,91,9,5,no,no,parallel computing,Product based,Management,Solutions Architect
66,70,80,71,66,74,68,5,1,yes,yes,cloud computing,Service Based,Technical,Database Manager
62,72,75,80,87,79,68,4,5,yes,no,IOT,Cloud Services,Technical,Business Intelligence Analyst
92,85,81,79,70,78,79,2,6,no,no,Software Engineering,Service Based,Management,Software Engineer
81,83,71,92,70,72,77,2,2,no,yes,cloud computing,Product based,Technical,Programmer Analyst
71,85,86,60,85,67,77,2,9,yes,no,data engineering,SAaS services,Technical,Business Systems Analyst
86,80,66,84,85,64,72,1,3,yes,no,networks,Sales and Marketing,Management,Software Systems Engineer
83,91,69,84,67,71,67,2,8,no,yes,Computer Architecture,product development,Management,Quality Assurance Associate
91,89,87,75,61,86,87,3,8,no,no,networks,Service Based,Technical,Data Architect
68,72,68,91,71,73,94,6,4,yes,yes,IOT,Cloud Services,Management,Information Technology Auditor
77,72,69,81,88,65,87,1,5,no,no,IOT,Service Based,Management,Programmer Analyst
75,90,92,70,85,88,86,7,1,no,yes,Software Engineering,Testing and Maintainance Services,Management,UX Designer
90,81,67,70,88,65,64,7,7,no,yes,parallel computing,Finance,Technical,Systems Security Administrator
77,70,86,74,88,78,69,8,8,yes,no,networks,BPA,Management,Design & UX
87,79,78,65,70,81,69,4,6,yes,no,parallel computing,SAaS services,Management,Database Manager
70,85,63,80,79,84,75,4,6,no,no,Management,product development,Technical,E-Commerce Analyst
60,67,83,81,65,71,74,2,7,no,no,Management,BPA,Technical,Software Quality Assurance (QA) / Testing
72,60,84,89,81,67,80,9,5,no,no,cloud computing,Product based,Technical,Database Developer
92,69,80,75,93,75,84,4,7,yes,no,parallel computing,BPA,Management,Technical Services/Help Desk/Tech Support
76,80,68,68,91,83,77,4,9,no,yes,Management,Testing and Maintainance Services,Technical,Software Developer
70,72,70,84,94,86,62,3,3,yes,yes,cloud computing,product development,Management,Software Quality Assurance (QA) / Testing
74,79,63,84,88,64,88,8,8,no,no,IOT,SAaS services,Management,Database Manager
78,63,84,93,92,88,87,8,1,no,yes,IOT,BPA,Technical,E-Commerce Analyst
68,60,88,87,92,92,65,2,8,yes,no,Computer Architecture,Testing and Maintainance Services,Technical,CRM Business Analyst
94,86,60,73,76,73,93,8,6,yes,no,programming,product development,Technical,UX Designer
84,72,64,79,73,79,73,8,6,no,no,networks,Testing and Maintainance Services,Technical,Software Engineer
79,92,83,81,66,75,92,8,4,no,no,hacking,Cloud Services,Technical,Network Engineer
63,79,68,72,93,76,81,1,5,no,yes,networks,Testing and Maintainance Services,Technical,Design & UX
88,81,92,66,73,61,92,3,9,no,yes,programming,Service Based,Technical,Database Administrator
63,80,75,69,77,94,92,9,5,no,yes,cloud computing,Sales and Marketing,Management,Portal Administrator
72,74,60,66,92,63,76,9,6,yes,yes,data engineering,Sales and Marketing,Technical,Applications Developer
68,67,64,90,88,63,79,5,9,no,no,networks,BPA,Technical,Technical Support
87,78,72,79,74,66,77,1,7,yes,yes,Computer Architecture,SAaS services,Technical,Software Engineer
91,72,66,66,82,93,65,6,3,no,yes,data engineering,Testing and Maintainance Services,Management,Business Intelligence Analyst
81,65,78,60,90,60,69,5,3,no,no,cloud computing,Web Services,Technical,Portal Administrator
81,85,60,75,73,65,80,9,2,no,yes,parallel computing,Cloud Services,Management,Network Engineer
85,93,61,68,66,76,89,9,4,no,yes,parallel computing,Cloud Services,Technical,Technical Support
60,88,88,82,61,90,60,7,5,yes,yes,IOT,Sales and Marketing,Management,Database Administrator
63,87,79,62,90,91,92,4,7,yes,no,data engineering,Service Based,Technical,CRM Technical Developer
75,60,83,80,93,64,79,3,6,yes,no,Management,Testing and Maintainance Services,Technical,Design & UX
94,78,94,85,79,75,84,6,1,no,yes,data engineering,Cloud Services,Management,Database Developer
88,60,77,84,61,76,88,1,4,no,no,parallel computing,Finance,Management,Network Engineer
76,91,63,91,83,68,72,7,3,no,no,programming,Finance,Technical,Database Developer
93,63,60,68,86,63,65,6,8,yes,no,networks,product development,Management,Software Quality Assurance (QA) / Testing
92,60,79,84,87,77,88,3,4,no,yes,parallel computing,Sales and Marketing,Management,Technical Services/Help Desk/Tech Support
88,72,68,73,60,75,70,9,5,no,yes,cloud computing,SAaS services,Technical,Network Engineer
68,68,67,94,66,82,79,1,1,yes,yes,data engineering,SAaS services,Technical,Technical Services/Help Desk/Tech Support
66,68,88,80,86,83,87,4,5,yes,no,Computer Architecture,BPA,Management,Applications Developer
62,71,91,69,74,60,85,7,5,no,yes,parallel computing,product development,Technical,Database Developer
80,72,74,68,81,92,93,9,3,yes,yes,Management,Testing and Maintainance Services,Technical,Data Architect
67,86,93,77,82,88,75,7,7,yes,no,Computer Architecture,Testing and Maintainance Services,Management,Systems Security Administrator
69,72,85,61,92,89,78,5,2,yes,yes,hacking,Testing and Maintainance Services,Technical,Database Administrator
69,81,80,82,70,67,62,8,7,no,no,Management,Cloud Services,Management,Software Developer
60,81,86,77,82,70,63,1,1,no,yes,data engineering,Service Based,Technical,UX Designer
83,62,62,73,89,85,92,5,3,no,yes,Management,Cloud Services,Management,Technical Support
85,66,63,60,78,86,74,1,6,yes,no,parallel computing,Web Services,Management,Business Intelligence Analyst
94,60,61,60,73,85,78,2,2,no,yes,Software Engineering,Product based,Technical,Database Developer
61,80,63,80,73,91,92,7,7,no,no,hacking,Finance,Technical,Software Engineer
82,92,63,70,91,87,68,3,5,yes,no,Management,Testing and Maintainance Services,Technical,UX Designer
94,63,61,78,84,77,82,9,9,yes,yes,parallel computing,product development,Management,Network Security Administrator
73,64,90,66,77,86,83,8,9,no,yes,parallel computing,Service Based,Technical,Portal Administrator
93,62,84,66,69,76,71,8,1,yes,yes,Computer Architecture,SAaS services,Technical,E-Commerce Analyst
81,69,89,64,77,89,72,7,8,yes,no,programming,Service Based,Management,Quality Assurance Associate
79,76,66,88,93,69,69,4,9,no,yes,networks,Service Based,Technical,Data Architect
76,91,63,84,91,71,85,7,3,no,yes,cloud computing,Finance,Technical,Software Engineer
81,93,89,73,85,72,73,8,4,yes,no,Software Engineering,Product based,Technical,E-Commerce Analyst
71,75,79,74,88,79,79,4,2,no,no,cloud computing,Testing and Maintainance Services,Technical,Software Systems Engineer
80,80,81,82,77,67,82,7,1,no,yes,cloud computing,product development,Technical,Mobile Applications Developer
86,61,61,82,75,76,87,7,9,yes,no,parallel computing,Web Services,Management,Software Systems Engineer
78,78,90,79,79,66,65,7,8,yes,no,Computer Architecture,Testing and Maintainance Services,Management,UX Designer
75,66,69,68,79,94,76,7,8,yes,no,IOT,product development,Technical,Systems Security Administrator
86,70,60,84,70,66,63,5,5,yes,no,Software Engineering,Finance,Technical,Database Administrator
66,87,81,65,62,61,67,4,1,no,no,parallel computing,Finance,Management,Project Manager
83,93,70,75,84,68,84,1,6,yes,yes,networks,SAaS services,Technical,Database Manager
83,66,72,63,93,84,91,7,6,yes,no,programming,BPA,Management,Web Developer
64,65,83,75,72,92,81,6,6,no,yes,networks,Cloud Services,Management,Mobile Applications Developer
92,83,74,67,64,87,68,6,7,yes,no,IOT,BPA,Management,Database Administrator
93,64,88,78,86,61,80,7,7,no,yes,data engineering,Sales and Marketing,Technical,Quality Assurance Associate
69,93,85,94,87,67,65,2,2,no,no,cloud computing,Service Based,Technical,Quality Assurance Associate
66,88,66,86,85,82,67,4,9,no,yes,parallel computing,Service Based,Management,Applications Developer
71,79,74,82,79,72,84,4,3,no,no,hacking,Testing and Maintainance Services,Management,Information Security Analyst
69,75,94,60,77,70,75,1,1,yes,no,Software Engineering,Service Based,Technical,Software Engineer
74,73,70,83,64,82,89,8,3,yes,yes,cloud computing,SAaS services,Management,Project Manager
83,78,61,62,61,90,76,1,7,yes,yes,Software Engineering,Cloud Services,Technical,Network Engineer
82,74,82,66,82,71,70,1,5,yes,yes,parallel computing,Finance,Management,Software Developer
90,70,87,74,93,79,92,5,7,yes,no,programming,product development,Technical,Network Security Engineer
71,63,64,81,75,76,79,6,2,yes,no,IOT,Cloud Services,Technical,Information Technology Auditor
61,81,73,61,73,82,85,6,6,yes,no,Management,Cloud Services,Technical,Database Developer
92,69,61,82,71,65,93,5,4,no,no,data engineering,Testing and Maintainance Services,Technical,E-Commerce Analyst
85,64,62,74,61,77,79,5,9,no,yes,data engineering,Testing and Maintainance Services,Technical,Technical Support
81,66,93,87,84,93,90,6,3,no,no,data engineering,Web Services,Management,Technical Support
74,81,91,80,68,68,86,6,8,no,no,Software Engineering,Sales and Marketing,Technical,Network Security Engineer
75,70,72,84,70,80,94,8,7,yes,yes,hacking,Testing and Maintainance Services,Management,E-Commerce Analyst
70,76,77,87,64,67,64,6,9,yes,yes,IOT,Web Services,Technical,Systems Security Administrator
63,83,78,64,64,60,64,4,2,yes,no,IOT,Cloud Services,Management,Technical Services/Help Desk/Tech Support
66,77,85,84,65,74,72,8,6,yes,yes,Management,Service Based,Technical,Information Technology Auditor
87,76,81,87,70,78,79,2,6,no,yes,networks,Product based,Technical,Portal Administrator
83,72,77,80,62,91,83,4,5,yes,yes,hacking,Product based,Technical,Software Engineer
94,87,73,84,65,61,84,6,7,no,no,IOT,BPA,Technical,Software Developer
60,67,60,89,72,80,83,7,1,yes,yes,networks,Cloud Services,Technical,Technical Engineer
68,69,81,77,63,88,85,5,8,yes,no,hacking,product development,Management,Database Developer
78,72,90,90,64,62,61,6,2,no,no,programming,SAaS services,Management,Design & UX
90,85,92,72,85,65,68,4,6,no,yes,hacking,Product based,Management,Technical Support
89,72,61,88,60,92,90,5,5,no,yes,IOT,SAaS services,Management,Software Developer
90,89,93,91,61,86,69,2,9,no,yes,Software Engineering,Finance,Management,Information Technology Auditor
73,62,86,73,88,76,68,1,9,yes,no,Computer Architecture,Finance,Management,Network Security Administrator
89,91,85,61,76,65,66,9,2,no,yes,cloud computing,BPA,Technical,Network Security Administrator
63,79,63,69,64,79,87,6,1,yes,yes,programming,Testing and Maintainance Services,Technical,Technical Engineer
77,76,90,62,84,82,71,7,6,no,no,data engineering,Testing and Maintainance Services,Technical,Business Systems Analyst
77,61,69,63,71,87,62,8,6,yes,yes,IOT,Testing and Maintainance Services,Technical,Technical Services/Help Desk/Tech Support
63,60,69,73,76,73,64,8,2,no,no,networks,Sales and Marketing,Technical,Portal Administrator
91,87,90,81,86,72,65,7,8,no,yes,hacking,Testing and Maintainance Services,Management,Information Technology Auditor
64,89,82,74,85,61,70,8,1,no,no,networks,Product based,Management,Software Engineer
79,88,83,78,86,84,67,9,1,yes,no,Computer Architecture,Testing and Maintainance Services,Management,Network Security Administrator
91,84,68,66,61,67,61,6,6,no,no,parallel computing,Sales and Marketing,Technical,Technical Engineer
90,61,85,84,71,65,82,9,9,yes,no,IOT,Testing and Maintainance Services,Technical,Network Engineer
81,61,64,79,83,81,74,4,9,yes,yes,Software Engineering,Cloud Services,Management,Web Developer
93,82,82,91,73,91,83,2,9,yes,yes,hacking,product development,Technical,Systems Analyst
76,80,91,74,82,63,64,2,2,yes,yes,Computer Architecture,Sales and Marketing,Technical,Network Security Administrator
81,74,87,61,90,83,61,7,6,no,no,programming,Service Based,Technical,Database Administrator
69,67,81,84,85,86,84,2,2,yes,yes,parallel computing,BPA,Technical,Systems Security Administrator
76,66,63,65,68,90,82,8,7,no,yes,Management,Web Services,Technical,Systems Analyst
74,90,83,68,77,73,76,5,6,yes,yes,Software Engineering,Sales and Marketing,Management,Information Technology Manager
86,70,73,75,90,76,75,5,9,no,yes,IOT,Testing and Maintainance Services,Technical,Technical Services/Help Desk/Tech Support
67,79,72,78,72,62,83,2,2,yes,no,hacking,Product based,Technical,Information Security Analyst
70,90,72,83,62,68,74,8,1,no,yes,networks,product development,Management,UX Designer
75,88,68,66,77,79,65,6,5,no,yes,networks,Sales and Marketing,Management,Network Security Administrator
74,94,75,66,71,64,85,2,6,no,no,programming,Cloud Services,Technical,Data Architect
74,69,73,77,63,91,83,5,6,no,yes,Computer Architecture,Testing and Maintainance Services,Management,Network Security Administrator
66,93,77,85,60,89,71,3,8,yes,no,Software Engineering,Web Services,Technical,Data Architect
74,88,83,64,64,70,61,3,9,no,yes,parallel computing,Cloud Services,Technical,Design & UX
66,85,94,74,80,69,65,2,2,no,no,hacking,Product based,Management,Network Engineer
93,80,81,64,85,77,94,8,8,yes,no,hacking,Web Services,Technical,Systems Security Administrator
67,83,65,91,74,61,68,2,4,no,no,Software Engineering,Testing and Maintainance Services,Management,Mobile Applications Developer
75,88,65,69,73,74,84,4,4,no,yes,cloud computing,Sales and Marketing,Technical,Software Developer
74,89,68,77,64,86,77,6,5,yes,yes,programming,product development,Management,Database Developer
73,69,93,61,72,66,60,3,3,yes,yes,data engineering,Service Based,Technical,Systems Security Administrator
83,90,64,73,66,85,91,4,2,no,yes,parallel computing,Web Services,Technical,Software Developer
79,64,71,77,85,67,83,1,9,yes,yes,programming,Web Services,Technical,Design & UX
90,84,93,70,80,79,64,1,8,yes,yes,Software Engineering,Sales and Marketing,Technical,Project Manager
70,79,60,64,71,86,62,8,4,no,yes,Management,product development,Management,Project Manager
86,91,92,63,64,69,81,1,1,yes,no,hacking,Finance,Management,Applications Developer
60,73,71,63,93,62,79,4,3,no,no,programming,Web Services,Management,CRM Business Analyst
66,69,90,94,82,63,63,9,3,yes,yes,data engineering,Sales and Marketing,Technical,Business Intelligence Analyst
67,89,62,86,80,86,68,7,2,no,no,networks,Web Services,Management,Database Administrator
91,73,94,71,72,88,60,9,6,yes,yes,Management,Testing and Maintainance Services,Management,Information Security Analyst
94,84,91,60,84,76,90,6,7,yes,yes,IOT,Sales and Marketing,Technical,Information Technology Manager
84,87,84,94,80,93,85,9,2,yes,yes,Computer Architecture,Finance,Technical,Solutions Architect
68,76,80,64,84,65,90,1,9,no,yes,networks,BPA,Technical,Network Security Administrator
77,94,82,72,87,83,67,5,8,yes,no,Software Engineering,BPA,Management,Data Architect
91,73,60,69,60,68,90,2,7,no,yes,Software Engineering,BPA,Management,Information Security Analyst
79,72,63,84,91,78,87,9,7,no,yes,Computer Architecture,SAaS services,Technical,Business Intelligence Analyst
94,67,84,62,94,70,91,5,7,no,yes,Computer Architecture,Testing and Maintainance Services,Management,Project Manager
79,85,63,63,78,93,72,8,2,no,no,Management,Service Based,Management,Software Engineer
94,75,63,75,83,73,83,1,3,yes,yes,Management,SAaS services,Management,Web Developer
60,83,60,83,91,63,69,8,6,no,no,IOT,Cloud Services,Technical,E-Commerce Analyst
84,78,79,76,80,87,71,8,8,yes,no,IOT,Service Based,Technical,CRM Technical Developer
69,74,83,74,82,83,83,5,9,yes,yes,Management,Cloud Services,Technical,Data Architect
69,71,67,61,84,76,60,4,5,no,yes,data engineering,BPA,Technical,Software Quality Assurance (QA) / Testing
91,80,65,61,60,84,75,8,7,yes,no,Computer Architecture,Service Based,Management,Information Technology Manager
71,71,72,85,84,75,81,7,2,yes,no,Management,Web Services,Technical,Network Security Administrator
92,87,73,79,86,71,85,5,8,no,no,programming,SAaS services,Technical,Network Security Administrator
91,66,84,63,68,81,87,5,6,yes,yes,hacking,Testing and Maintainance Services,Management,Network Security Administrator
80,70,76,93,79,68,94,3,6,yes,yes,parallel computing,product development,Technical,Web Developer
69,92,60,72,66,89,93,4,2,yes,no,Management,Finance,Technical,Database Developer
86,68,80,93,90,84,94,9,2,yes,no,data engineering,Cloud Services,Management,E-Commerce Analyst
84,79,61,61,60,71,71,3,1,yes,yes,Management,Service Based,Technical,Business Systems Analyst
83,92,92,87,92,82,74,1,8,no,yes,parallel computing,BPA,Technical,Database Administrator
68,61,80,71,81,86,87,2,7,yes,no,parallel computing,Product based,Management,Network Engineer
78,86,62,63,78,76,72,2,8,yes,no,networks,product development,Technical,Portal Administrator
61,89,91,94,94,93,61,5,9,yes,yes,Management,BPA,Technical,Network Engineer
86,62,93,61,60,83,69,1,5,yes,no,Software Engineering,Finance,Management,Portal Administrator
85,88,87,88,88,71,65,2,7,no,no,Computer Architecture,Cloud Services,Management,Network Security Administrator
78,94,92,94,85,86,64,3,1,yes,no,Management,Web Services,Technical,Software Systems Engineer
63,78,84,79,60,80,94,2,8,yes,no,hacking,SAaS services,Technical,Applications Developer
88,88,74,66,93,91,88,1,1,no,no,Software Engineering,Sales and Marketing,Management,Programmer Analyst
64,60,87,84,75,84,71,2,3,yes,yes,data engineering,Web Services,Technical,Programmer Analyst
87,85,81,93,63,81,93,6,6,no,yes,IOT,Service Based,Technical,UX Designer
62,94,64,71,87,60,73,1,2,no,no,Computer Architecture,SAaS services,Management,Project Manager
78,69,92,78,65,76,74,2,9,yes,no,programming,Web Services,Technical,Network Engineer
82,69,90,76,72,76,65,9,9,no,no,parallel computing,Service Based,Management,Software Developer
62,74,62,66,78,63,75,2,4,yes,yes,Management,Sales and Marketing,Management,Network Security Administrator
70,74,83,73,60,73,72,4,3,yes,no,data engineering,BPA,Management,Software Quality Assurance (QA) / Testing
81,61,63,89,64,91,82,9,6,no,no,hacking,Testing and Maintainance Services,Technical,Data Architect
